id,history_item,visit_time,title,load_successful,http_non_get,synthesized,redirect_source,redirect_destination,origin,generation,attributes,score
25431,15198,2023-01-22 21:34:49.689451,"Ver 'Rumbo a La Isla de las Tentaciones 6', (18/01/23), online y completo",1,0,0,,,0,6942,0,100
25432,15198,2023-01-22 21:34:49.994733,"Ver 'Rumbo a La Isla de las Tentaciones 6', (18/01/23), online y completo",1,0,0,,,0,6942,3,0
25433,15198,2023-01-22 22:02:41.147647,"Ver 'Rumbo a La Isla de las Tentaciones 6', (18/01/23), online y completo",1,0,0,,,0,6952,9,0
25434,15244,2023-01-22 22:02:48.010446,La Isla de las Tentaciones 6 | Última hora del reality de parejas,1,0,0,,,0,6952,0,100
25435,15241,2023-01-23 11:14:36.618991,,1,0,0,,25436.0,0,6955,0,100
25436,15242,2023-01-23 11:14:36.619143,Viladecans The Style Outlets: Google Local,1,0,0,25435.0,,0,6955,0,100
25437,15242,2023-01-23 11:14:37.363962,Viladecans The Style Outlets: Google Local,1,0,0,,,0,6955,3,0
25438,15243,2023-01-23 11:14:38.172423,Viladecans The Style Outlets: Google Local,1,0,0,,,0,6955,1,0
25439,15245,2023-01-23 23:33:47.472180,la isla de las tentaciones - Buscar con Google,1,0,0,,,0,6956,0,100
25440,15245,2023-01-23 23:33:48.195514,la isla de las tentaciones - Buscar con Google,1,0,0,,,0,6956,3,0
25441,15246,2023-01-23 23:34:00.671469,la isla de las tentaciones - Buscar con Google,1,0,0,,,0,6956,1,0
25442,15245,2023-01-23 23:34:05.479720,la isla de las tentaciones - Buscar con Google,1,0,0,,,0,6956,3,0
25443,15247,2023-01-23 23:34:05.693782,la isla de las tentaciones directo - Buscar con Google,1,0,0,,,0,6956,0,100
25444,15247,2023-01-23 23:34:06.081159,la isla de las tentaciones directo - Buscar con Google,1,0,0,,,0,6956,3,0
25445,15248,2023-01-23 23:34:10.933305,Directos | La isla de las tentaciones - Telecinco,1,0,0,,,0,6956,0,100
25446,15249,2023-01-23 23:34:15.114894,"La isla de las tentaciones, en directo: última hora del estreno hoy en Telecinco",1,0,0,,,0,6956,0,100
25447,15250,2023-01-23 23:34:21.168984,"La isla de las tentaciones, en directo: última hora del estreno hoy en Telecinco",1,0,0,,25448.0,0,6956,1,0
25448,15251,2023-01-23 23:34:24.830841,Dónde ver ‘La isla de las tentaciones 6’ en directo y online,1,0,0,25447.0,,0,6956,0,100
25449,15252,2023-01-23 23:34:56.018088,"La isla de las tentaciones, en directo: última hora del estreno hoy en Telecinco",1,0,0,,,0,6956,0,100
25450,15250,2023-01-24 08:35:29.734066,"La isla de las tentaciones, en directo: última hora del estreno hoy en Telecinco",1,0,0,,25451.0,0,6985,0,100
25451,15244,2023-01-24 08:35:31.801035,La Isla de las Tentaciones 6 | Última hora del reality de parejas,1,0,0,25450.0,,0,6985,0,100
25452,15253,2023-01-24 08:35:57.085285,La Isla de las Tentaciones 6 | Última hora del reality de parejas,1,0,0,,,0,6985,0,100
25453,15254,2023-01-24 08:36:17.780457,"Los mejores momentos de 'La isla de las tentaciones' (23/01/23), en vídeo",1,0,0,,,0,6987,0,100
25454,15197,2023-01-24 08:36:56.943689,la isla de las tentaciones 6 - Buscar con Google,1,0,0,,,0,6987,0,100
25455,15197,2023-01-24 08:36:57.815996,la isla de las tentaciones 6 - Buscar con Google,1,0,0,,,0,6987,3,0
25456,15255,2023-01-24 08:36:59.527107,"Ver 'La isla de las tentaciones 6: programa 1' (23/01/23), online y completo en Telecinco",1,0,0,,,0,6987,0,100
25457,15255,2023-01-24 08:36:59.950552,"Ver 'La isla de las tentaciones 6: programa 1' (23/01/23), online y completo en Telecinco",1,0,0,,,0,6987,3,0
25458,15053,2023-01-24 08:55:46.493825,olga camargo - Buscar con Google,1,0,0,,,0,6990,0,100
25459,15053,2023-01-24 08:55:47.854211,olga camargo - Buscar con Google,1,0,0,,,0,6990,3,0
25460,15055,2023-01-24 08:55:49.696207,olga camargo - Buscar con Google,1,0,0,,,0,6990,1,0
