Z_PK,Z_ENT,Z_OPT,ZKIND,ZMETADATA,ZTAG,ZHASPROCESS,ZBILLCYCLEEND,ZTIMESTAMP,ZWIFIIN,ZWIFIOUT,ZWWANIN,ZWWANOUT
167869,5,2,0,0,1,218,,2023-02-11 08:51:45.555650,0.0,0.0,2174.0,1840.0
167870,5,175,0,0,1,589,,2023-02-11 08:52:28.814548,0.0,0.0,55028321.0,7895494.0
167871,5,14,0,0,1,369,,2023-02-11 08:52:41.482634,0.0,0.0,100690.0,33477.0
167872,5,123,0,0,1,55,,2023-02-11 14:20:40.838523,0.0,0.0,1472066.0,248679.0
167873,5,50,0,0,1,552,,2023-02-11 14:23:41.873563,0.0,0.0,66887.0,42091.0
167874,5,87,0,0,1,50,,2023-02-11 14:23:40.263636,0.0,0.0,35413.0,22097.0
167875,5,8,0,0,1,830,,2023-02-11 14:24:56.735087,0.0,0.0,32707.0,9940.0
167876,5,101,0,0,1,588,,2023-02-11 14:24:55.782965,0.0,0.0,73691.0,35352.0
167877,5,7,0,0,1,628,,2023-02-11 14:24:58.235458,0.0,0.0,12357.0,9383.0
167878,5,54,0,0,1,837,,2023-02-11 14:24:59.693022,0.0,0.0,17119938.0,1081253.0
167879,5,32,0,0,1,145,,2023-02-11 14:27:58.680673,0.0,0.0,215408.0,84107.0
167880,5,50,0,0,1,43,,2023-02-11 14:28:42.621538,0.0,0.0,435420.0,108223.0
167881,5,21,0,0,1,897,,2023-02-11 14:31:39.025167,0.0,0.0,152479.0,62597.0
167882,5,1,0,0,1,895,,2023-02-11 14:31:41.132042,0.0,0.0,8924.0,12553.0
167883,5,6,0,0,1,108,,2023-02-11 14:42:08.678976,0.0,0.0,37402.0,18659.0
167884,5,45,0,0,1,94,,2023-02-11 14:43:40.231922,0.0,0.0,1031608.0,123874.0
167885,5,22,0,0,1,57,,2023-02-11 14:44:05.710776,0.0,0.0,208202.0,75491.0
167886,5,3,0,0,1,385,,2023-02-11 14:50:25.557256,0.0,0.0,12441.0,2909.0
167887,5,8,0,0,1,695,,2023-02-11 14:55:00.279565,0.0,0.0,142743.0,112893.0
167888,5,10,0,0,1,559,,2023-02-11 14:54:59.943145,0.0,0.0,3428.0,2288.0
167889,5,4,0,0,1,823,,2023-02-11 14:56:31.730684,0.0,0.0,8839.0,3709.0
167890,5,5,0,0,1,825,,2023-02-11 14:56:32.618848,0.0,0.0,217745.0,71259.0
167891,5,2,0,0,1,828,,2023-02-11 14:56:32.636161,0.0,0.0,4254.0,3311.0
167892,5,3,0,0,1,829,,2023-02-11 14:56:33.184201,0.0,0.0,172046.0,12301.0
167893,5,1,0,0,1,1030,,2023-02-11 14:56:32.597748,0.0,0.0,34519.0,18036.0
167894,5,4,0,0,1,661,,2023-02-11 15:03:39.082914,0.0,0.0,44131.0,24140.0
167895,5,3,0,0,1,676,,2023-02-11 15:03:39.798812,0.0,0.0,15306.0,10831.0
